Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ArrangeByLogin,Chrome 122.0.0.0,first only not login test case will run after that 1 login is performed and next all remaining login test case will run,,23-02-2024 10:10:01,23-02-2024 11:16:53,1h - 6m - 52.176s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_001,Chrome 122.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,23-02-2024 10:10:27,23-02-2024 10:10:52,24.633s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:27,23-02-2024 10:10:28,0.539s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:10:28,23-02-2024 10:10:52,23.798s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_002,Chrome 122.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,23-02-2024 10:10:52,23-02-2024 10:11:19,27.560s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:52,23-02-2024 10:10:52,0.387s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Departamentos""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:52,23-02-2024 10:10:53,0.327s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand1_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:53,23-02-2024 10:10:53,0.288s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand2_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:53,23-02-2024 10:10:53,0.413s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand3_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:53,23-02-2024 10:10:54,0.371s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand4_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:54,23-02-2024 10:10:54,0.404s,PASSED
"verifyElementPresent(findTestObject(""HomePage/mesa_de_regalos_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:54,23-02-2024 10:10:55,0.416s,PASSED
"verifyElementPresent(findTestObject(""HomePage/credito_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:55,23-02-2024 10:10:55,0.393s,PASSED
"verifyElementPresent(findTestObject(""HomePage/MainSearchbar_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:55,23-02-2024 10:10:55,0.420s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Iniciar sesion""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:55,23-02-2024 10:10:56,0.439s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Tiendas_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:56,23-02-2024 10:10:56,0.383s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Ayuda_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:10:56,23-02-2024 10:10:57,0.359s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:10:57,23-02-2024 10:11:19,22.815s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_003,Chrome 122.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,23-02-2024 10:11:19,23-02-2024 10:12:17,57.555s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 10:11:20,23-02-2024 10:11:22,1.855s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 10:11:22,23-02-2024 10:11:46,24.933s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""))",Chrome 122.0.0.0,,,23-02-2024 10:11:46,23-02-2024 10:11:47,0.865s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:11:47,23-02-2024 10:11:48,1.130s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:11:48,23-02-2024 10:11:50,1.139s,PASSED
"mouseOver(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:11:50,23-02-2024 10:11:50,0.728s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L2CategoryInFlyout_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:11:50,23-02-2024 10:11:51,0.828s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L3CategoriesInFlyout_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:11:51,23-02-2024 10:11:52,0.662s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:11:52,23-02-2024 10:12:17,25.150s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_007,Chrome 122.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,23-02-2024 10:12:17,23-02-2024 10:13:10,52.796s,PASSED
waitForPageLoad(5),Chrome 122.0.0.0,,,23-02-2024 10:12:17,23-02-2024 10:12:17,0.119s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:12:17,23-02-2024 10:12:18,0.483s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:12:18,23-02-2024 10:12:30,12.242s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:12:30,23-02-2024 10:12:30,0.349s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 10:12:30,23-02-2024 10:12:45,14.657s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:12:45,23-02-2024 10:13:10,24.692s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_008,Chrome 122.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,23-02-2024 10:13:10,23-02-2024 10:13:46,36.644s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:13:10,23-02-2024 10:13:11,0.568s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:13:11,23-02-2024 10:13:15,4.544s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:13:15,23-02-2024 10:13:15,0.317s,PASSED
"verifyElementPresent(findTestObject(""SLP/find_store_title_SLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:13:15,23-02-2024 10:13:16,0.291s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 10:13:16,23-02-2024 10:13:24,8.304s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:13:24,23-02-2024 10:13:46,22.479s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_009,Chrome 122.0.0.0,"To verify that an Anonymous user is navigated to Login page by clicking on the  “Mis pedidos"" link on the header section.",,23-02-2024 10:13:46,23-02-2024 10:14:26,39.396s,PASSED
"click(findTestObject(""HomePage/Mis_comprar""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:13:47,23-02-2024 10:13:47,0.371s,PASSED
"click(findTestObject(""HomePage/Iniciar_miscompras""))",Chrome 122.0.0.0,,,23-02-2024 10:13:47,23-02-2024 10:13:52,4.755s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:13:52,23-02-2024 10:13:55,2.834s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:13:55,23-02-2024 10:13:55,0.294s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:13:55,23-02-2024 10:14:26,31.012s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_013,Chrome 122.0.0.0,To verify that the user is able to create account from Login overlay,,23-02-2024 10:14:26,23-02-2024 10:15:09,43.160s,ERROR
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 10:14:26,23-02-2024 10:14:28,2.245s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 10:14:28,23-02-2024 10:14:46,17.287s,PASSED
randomemail = a.GenerateRandomEmail.generateRandomEmail(),Chrome 122.0.0.0,,,23-02-2024 10:14:46,23-02-2024 10:14:46,0.068s,ERROR
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:14:46,23-02-2024 10:15:09,23.263s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 122.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,23-02-2024 10:15:09,23-02-2024 10:15:45,35.414s,PASSED
"click(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:15:09,23-02-2024 10:15:10,0.554s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:15:10,23-02-2024 10:15:10,0.589s,PASSED
"click(findTestObject(""HomePage/L1_Category_HP""))",Chrome 122.0.0.0,,,23-02-2024 10:15:10,23-02-2024 10:15:11,0.464s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,23-02-2024 10:15:11,23-02-2024 10:15:22,10.781s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:15:22,23-02-2024 10:15:45,22.932s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 122.0.0.0,To verify the display of facets on the item listing page,,23-02-2024 10:15:45,23-02-2024 10:16:25,40.393s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""ropa""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:15:45,23-02-2024 10:15:53,8.574s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,23-02-2024 10:15:53,23-02-2024 10:16:00,7.103s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/CategoríasTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:16:00,23-02-2024 10:16:01,0.437s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/DescontousTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:16:01,23-02-2024 10:16:01,0.358s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/TamanoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:16:01,23-02-2024 10:16:01,0.326s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/MarcasTitleFacet_PLP""), 0, OPTIONAL)",Chrome 122.0.0.0,,,23-02-2024 10:16:01,23-02-2024 10:16:02,0.307s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/VendidoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:16:02,23-02-2024 10:16:02,0.332s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/PreciosTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 10:16:02,23-02-2024 10:16:02,0.297s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:16:02,23-02-2024 10:16:25,22.523s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_048,Chrome 122.0.0.0,To verify the display of price range on the item listing page for multi sku items.,,23-02-2024 10:16:25,23-02-2024 10:17:05,40.019s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""silla frandiss""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 10:16:25,23-02-2024 10:16:33,8.313s,PASSED
"a = getText(findTestObject(""PLPPage/product1_cardPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,23-02-2024 10:16:33,23-02-2024 10:16:42,8.903s,PASSED
"b = getText(findTestObject(""PLPPage/product1_discountPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,23-02-2024 10:16:42,23-02-2024 10:16:43,0.356s,PASSED
"a1 = a.contains(""-"")",Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:16:43,0.002s,PASSED
"b1 = b.contains(""-"")",Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:16:43,0.002s,PASSED
out.println(a1),Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:16:43,0.037s,PASSED
out.println(b1),Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:16:43,0.001s,PASSED
if (a1 == true && b1 == true),Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:16:43,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 10:16:43,23-02-2024 10:17:05,22.222s,ERROR
,,,,,,,
