Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ArrangeByLogin,Chrome 122.0.0.0,first only not login test case will run after that 1 login is performed and next all remaining login test case will run,,07-03-2024 10:31:35,07-03-2024 11:54:13,1h - 22m - 38.530s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_001,Chrome 122.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,07-03-2024 10:31:59,07-03-2024 10:32:23,24.234s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:31:59,07-03-2024 10:32:00,0.620s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 10:32:00,07-03-2024 10:32:23,23.460s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_002,Chrome 122.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,07-03-2024 10:32:23,07-03-2024 10:32:50,26.599s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:23,07-03-2024 10:32:24,0.382s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Departamentos""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:24,07-03-2024 10:32:24,0.383s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand1_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:24,07-03-2024 10:32:24,0.317s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand2_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:24,07-03-2024 10:32:25,0.306s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand3_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:25,07-03-2024 10:32:25,0.311s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand4_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:25,07-03-2024 10:32:25,0.310s,PASSED
"verifyElementPresent(findTestObject(""HomePage/mesa_de_regalos_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:25,07-03-2024 10:32:26,0.299s,PASSED
"verifyElementPresent(findTestObject(""HomePage/credito_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:26,07-03-2024 10:32:26,0.311s,PASSED
"verifyElementPresent(findTestObject(""HomePage/MainSearchbar_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:26,07-03-2024 10:32:26,0.305s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Iniciar sesion""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:26,07-03-2024 10:32:27,0.305s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Tiendas_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:27,07-03-2024 10:32:27,0.339s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Ayuda_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 10:32:27,07-03-2024 10:32:27,0.300s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 10:32:27,07-03-2024 10:32:50,22.637s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_003,Chrome 122.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,07-03-2024 10:32:50,07-03-2024 10:33:31,41.555s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 10:32:50,07-03-2024 10:33:03,13.213s,PASSED
