Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_008,Chrome 122.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,23-02-2024 19:32:05,23-02-2024 19:32:55,49.638s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:32:05,23-02-2024 19:32:05,0.395s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:05,23-02-2024 19:32:14,8.293s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:14,23-02-2024 19:32:14,0.307s,PASSED
"verifyElementPresent(findTestObject(""SLP/find_store_title_SLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:14,23-02-2024 19:32:14,0.320s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:32:14,23-02-2024 19:32:32,17.799s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:32:32,23-02-2024 19:32:55,22.430s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_009,Chrome 122.0.0.0,"To verify that an Anonymous user is navigated to Login page by clicking on the  “Mis pedidos"" link on the header section.",,23-02-2024 19:32:55,23-02-2024 19:33:35,40.196s,PASSED
"click(findTestObject(""HomePage/Mis_comprar""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:32:55,23-02-2024 19:32:55,0.430s,PASSED
"click(findTestObject(""HomePage/Iniciar_miscompras""))",Chrome 122.0.0.0,,,23-02-2024 19:32:55,23-02-2024 19:32:57,1.671s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:57,23-02-2024 19:33:01,4.086s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:33:01,23-02-2024 19:33:01,0.302s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:33:01,23-02-2024 19:33:35,33.613s,PASSED
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_013,Chrome 122.0.0.0,To verify that the user is able to create account from Login overlay,,23-02-2024 19:33:35,23-02-2024 19:34:18,43.535s,ERROR
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 19:33:35,23-02-2024 19:33:36,1.116s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:33:36,23-02-2024 19:33:55,18.637s,PASSED
randomemail = a.GenerateRandomEmail.generateRandomEmail(),Chrome 122.0.0.0,,,23-02-2024 19:33:55,23-02-2024 19:33:55,0.034s,ERROR
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:33:55,23-02-2024 19:34:18,23.587s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 122.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,23-02-2024 19:34:18,23-02-2024 19:34:49,30.214s,PASSED
"click(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:34:18,23-02-2024 19:34:19,0.439s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:34:19,23-02-2024 19:34:19,0.559s,PASSED
"click(findTestObject(""HomePage/L1_Category_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:34:19,23-02-2024 19:34:20,0.341s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,23-02-2024 19:34:20,23-02-2024 19:34:26,5.976s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:34:26,23-02-2024 19:34:49,22.825s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 122.0.0.0,To verify the display of facets on the item listing page,,23-02-2024 19:34:49,23-02-2024 19:35:28,39.367s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""ropa""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:34:49,23-02-2024 19:34:57,7.879s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,23-02-2024 19:34:57,23-02-2024 19:35:03,6.795s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/CategoríasTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:35:03,23-02-2024 19:35:04,0.362s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/DescontousTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:35:04,23-02-2024 19:35:04,0.589s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/TamanoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:35:04,23-02-2024 19:35:05,0.413s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/MarcasTitleFacet_PLP""), 0, OPTIONAL)",Chrome 122.0.0.0,,,23-02-2024 19:35:05,23-02-2024 19:35:05,0.314s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/VendidoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:35:05,23-02-2024 19:35:05,0.389s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/PreciosTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:35:05,23-02-2024 19:35:06,0.360s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:35:06,23-02-2024 19:35:28,22.166s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_048,Chrome 122.0.0.0,To verify the display of price range on the item listing page for multi sku items.,,23-02-2024 19:35:28,23-02-2024 19:36:08,39.943s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""silla frandiss""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:35:28,23-02-2024 19:35:36,7.757s,PASSED
"a = getText(findTestObject(""PLPPage/product1_cardPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,23-02-2024 19:35:36,23-02-2024 19:35:46,9.707s,PASSED
"b = getText(findTestObject(""PLPPage/product1_discountPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,23-02-2024 19:35:46,23-02-2024 19:35:46,0.300s,PASSED
"a1 = a.contains(""-"")",Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:35:46,0.001s,PASSED
"b1 = b.contains(""-"")",Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:35:46,0.000s,PASSED
out.println(a1),Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:35:46,0.013s,PASSED
out.println(b1),Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:35:46,0.001s,PASSED
if (a1 == true && b1 == true),Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:35:46,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:35:46,23-02-2024 19:36:08,22.025s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_049,Chrome 122.0.0.0,To verify the display of list price & sale price on the item listing page for single sku items.,,23-02-2024 19:36:08,23-02-2024 19:36:44,36.118s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":rateCPandDP], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:36:08,23-02-2024 19:36:16,7.889s,PASSED
"verifyElementVisible(findTestObject(""PLPPage/product1_cardPrice_PLP""))",Chrome 122.0.0.0,"verify selling price
",,23-02-2024 19:36:16,23-02-2024 19:36:21,5.136s,PASSED
"verifyElementVisible(findTestObject(""PLPPage/product1_discountPrice_PLP""))",Chrome 122.0.0.0,"verify listed price
",,23-02-2024 19:36:21,23-02-2024 19:36:21,0.307s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:36:21,23-02-2024 19:36:44,22.719s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_055,Chrome 122.0.0.0,To verify the display of product price range on PDP page for multi sku item.,,23-02-2024 19:36:44,23-02-2024 19:37:32,47.964s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":search2price], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:36:44,23-02-2024 19:36:53,9.095s,PASSED
"click(findTestObject(""PLPPage/product6_Cardprrice_PLP""))",Chrome 122.0.0.0,,,23-02-2024 19:36:53,23-02-2024 19:36:59,5.880s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/Colour2_PDP""), 0)",Chrome 122.0.0.0,"verify milti sku
",,23-02-2024 19:36:59,23-02-2024 19:37:17,17.832s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/minus(-)(priceRange)_PDP""), 0)",Chrome 122.0.0.0,"verify price range
",,23-02-2024 19:37:17,23-02-2024 19:37:19,2.296s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:37:19,23-02-2024 19:37:32,12.784s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_054,Chrome 122.0.0.0,To verify the display of product price on PDP page for single sku item.,,23-02-2024 19:37:32,23-02-2024 19:38:39,1m - 7.168s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 19:37:32,23-02-2024 19:37:33,1.145s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:37:33,23-02-2024 19:37:59,26.028s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""zap""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:37:59,23-02-2024 19:38:08,8.269s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""))",Chrome 122.0.0.0,,,23-02-2024 19:38:08,23-02-2024 19:38:15,6.957s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/Colour1_PDP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:38:15,23-02-2024 19:38:27,12.307s,PASSED
"verifyElementNotPresent(findTestObject(""PDPPage/Colour2_PDP""), 0)",Chrome 122.0.0.0,"verify sku not present
",,23-02-2024 19:38:27,23-02-2024 19:38:27,0.287s,PASSED
