Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ArrangeByLogin,Chrome 122.0.0.0,first only not login test case will run after that 1 login is performed and next all remaining login test case will run,,07-03-2024 19:06:33,07-03-2024 20:08:28,1h - 1m - 55.590s,FAILED
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_001,Chrome 122.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,07-03-2024 19:06:57,07-03-2024 19:07:21,24.125s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:06:57,07-03-2024 19:06:58,0.743s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:06:58,07-03-2024 19:07:21,23.257s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_002,Chrome 122.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,07-03-2024 19:07:21,07-03-2024 19:07:48,26.738s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:21,07-03-2024 19:07:21,0.298s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Departamentos""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:21,07-03-2024 19:07:22,0.319s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand1_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:22,07-03-2024 19:07:22,0.298s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand2_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:22,07-03-2024 19:07:22,0.299s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand3_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:22,07-03-2024 19:07:23,0.299s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand4_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:23,07-03-2024 19:07:23,0.330s,PASSED
"verifyElementPresent(findTestObject(""HomePage/mesa_de_regalos_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:23,07-03-2024 19:07:23,0.347s,PASSED
"verifyElementPresent(findTestObject(""HomePage/credito_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:23,07-03-2024 19:07:23,0.298s,PASSED
"verifyElementPresent(findTestObject(""HomePage/MainSearchbar_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:23,07-03-2024 19:07:24,0.319s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Iniciar sesion""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:24,07-03-2024 19:07:24,0.362s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Tiendas_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:24,07-03-2024 19:07:25,0.329s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Ayuda_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:07:25,07-03-2024 19:07:25,0.329s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:07:25,07-03-2024 19:07:48,22.832s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_003,Chrome 122.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,07-03-2024 19:07:48,07-03-2024 19:08:29,41.816s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 19:07:48,07-03-2024 19:08:02,14.056s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""))",Chrome 122.0.0.0,,,07-03-2024 19:08:02,07-03-2024 19:08:05,3.262s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 19:08:05,07-03-2024 19:08:05,0.346s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 19:08:05,07-03-2024 19:08:06,0.414s,PASSED
"mouseOver(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 19:08:06,07-03-2024 19:08:07,0.708s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L2CategoryInFlyout_HP""))",Chrome 122.0.0.0,,,07-03-2024 19:08:07,07-03-2024 19:08:07,0.408s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L3CategoriesInFlyout_HP""))",Chrome 122.0.0.0,,,07-03-2024 19:08:07,07-03-2024 19:08:07,0.314s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:08:07,07-03-2024 19:08:29,22.214s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_007,Chrome 122.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,07-03-2024 19:08:30,07-03-2024 19:09:08,38.827s,PASSED
waitForPageLoad(5),Chrome 122.0.0.0,,,07-03-2024 19:08:30,07-03-2024 19:08:30,0.052s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 19:08:30,07-03-2024 19:08:30,0.397s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:08:30,07-03-2024 19:08:37,7.028s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:08:37,07-03-2024 19:08:37,0.315s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 19:08:37,07-03-2024 19:08:46,8.480s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:08:46,07-03-2024 19:09:08,22.462s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_008,Chrome 122.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,07-03-2024 19:09:08,07-03-2024 19:09:49,40.639s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 19:09:08,07-03-2024 19:09:09,0.362s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:09:09,07-03-2024 19:09:17,8.151s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:09:17,07-03-2024 19:09:17,0.299s,PASSED
"verifyElementPresent(findTestObject(""SLP/find_store_title_SLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:09:17,07-03-2024 19:09:18,0.346s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 19:09:18,07-03-2024 19:09:26,8.702s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:09:26,07-03-2024 19:09:49,22.685s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_009,Chrome 122.0.0.0,"To verify that an Anonymous user is navigated to Login page by clicking on the  “Mis pedidos"" link on the header section.",,07-03-2024 19:09:49,07-03-2024 19:10:28,38.567s,PASSED
"click(findTestObject(""HomePage/Mis_comprar""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 19:09:49,07-03-2024 19:09:49,0.392s,PASSED
"click(findTestObject(""HomePage/Iniciar_miscompras""))",Chrome 122.0.0.0,,,07-03-2024 19:09:49,07-03-2024 19:09:51,1.183s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:09:51,07-03-2024 19:09:55,4.242s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 19:09:55,07-03-2024 19:09:55,0.298s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 19:09:55,07-03-2024 19:10:28,32.373s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_013,Chrome 122.0.0.0,To verify that the user is able to create account from Login overlay,,07-03-2024 19:10:28,07-03-2024 19:12:14,1m - 46.890s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,07-03-2024 19:10:28,07-03-2024 19:10:29,0.971s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 19:10:29,07-03-2024 19:10:56,26.964s,PASSED
randomemail = GenerateRandomEmail(),Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.000s,PASSED
"firstName = ""automation""",Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.000s,PASSED
generatedstring = RandomStringUtils.randomAlphabetic(8),Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.000s,PASSED
"Email = firstName + generatedstring + ""@digisprint.com""",Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.000s,PASSED
logInfo(Email),Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.015s,PASSED
return Email,Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.000s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.621s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:10:56,0.008s,PASSED
"click(findTestObject(""HomePage/loginpage/create_account_hp""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 19:10:56,07-03-2024 19:11:05,8.286s,PASSED
"setText(findTestObject(""HomePage/loginpage/newAccountemail_LP""), randomemail)",Chrome 122.0.0.0,,,07-03-2024 19:11:05,07-03-2024 19:11:06,1.009s,PASSED
